name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Sleepers,R,Crime,1996,"October 18, 1996 (United States)",7.6,202000.0,Barry Levinson,Lorenzo Carcaterra,Robert De Niro,United States,44000000.0,165615285.0,Astoria Films,147.0
From Dusk Till Dawn,R,Action,1996,"January 19, 1996 (United States)",7.2,294000.0,Robert Rodriguez,Robert Kurtzman,Harvey Keitel,United States,19000000.0,25837111.0,Dimension Films,108.0
Fargo,R,Crime,1996,"April 5, 1996 (United States)",8.1,634000.0,Joel Coen,Ethan Coen,William H. Macy,United States,7000000.0,60611975.0,PolyGram Filmed Entertainment,98.0
Mission: Impossible,PG-13,Action,1996,"May 22, 1996 (United States)",7.1,398000.0,Brian De Palma,Bruce Geller,Tom Cruise,United States,80000000.0,457696391.0,Paramount Pictures,110.0
Trainspotting,R,Drama,1996,"August 9, 1996 (United States)",8.1,647000.0,Danny Boyle,Irvine Welsh,Ewan McGregor,United Kingdom,,16607872.0,Channel Four Films,93.0
Happy Gilmore,PG-13,Comedy,1996,"February 16, 1996 (United States)",7.0,205000.0,Dennis Dugan,Tim Herlihy,Adam Sandler,United States,12000000.0,41205099.0,Universal Pictures,92.0
Jerry Maguire,R,Comedy,1996,"December 13, 1996 (United States)",7.3,249000.0,Cameron Crowe,Cameron Crowe,Tom Cruise,United States,50000000.0,273552592.0,TriStar Pictures,139.0
The Rock,R,Action,1996,"June 7, 1996 (United States)",7.4,319000.0,Michael Bay,David Weisberg,Sean Connery,United States,75000000.0,335062621.0,Hollywood Pictures,136.0
A Time to Kill,R,Crime,1996,"July 24, 1996 (United States)",7.5,138000.0,Joel Schumacher,John Grisham,Matthew McConaughey,United States,40000000.0,152266007.0,New Regency Productions,149.0
Primal Fear,R,Crime,1996,"April 3, 1996 (United States)",7.7,196000.0,Gregory Hoblit,William Diehl,Richard Gere,United States,30000000.0,102616183.0,Paramount Pictures,129.0
The English Patient,R,Drama,1996,"December 6, 1996 (United States)",7.4,182000.0,Anthony Minghella,Michael Ondaatje,Ralph Fiennes,United States,27000000.0,231976425.0,Miramax,162.0
Bottle Rocket,R,Comedy,1996,"February 21, 1996 (United States)",7.0,72000.0,Wes Anderson,Owen Wilson,Luke Wilson,United States,7000000.0,560069.0,Columbia Pictures,91.0
Bound,R,Crime,1996,"October 4, 1996 (United States)",7.3,52000.0,Lana Wachowski,Lilly Wachowski,Jennifer Tilly,United States,4500000.0,3802260.0,Dino De Laurentiis Company,109.0
Sling Blade,R,Drama,1996,"March 14, 1997 (United States)",8.0,89000.0,Billy Bob Thornton,Billy Bob Thornton,Billy Bob Thornton,United States,1000000.0,24444121.0,Miramax,135.0
The Birdcage,R,Comedy,1996,"March 8, 1996 (United States)",7.1,83000.0,Mike Nichols,Jean Poiret,Robin Williams,United States,31000000.0,185260553.0,United Artists,117.0
The Hunchback of Notre Dame,G,Animation,1996,"June 21, 1996 (United States)",7.0,146000.0,Gary Trousdale,Tab Murphy,Demi Moore,United States,100000000.0,325338851.0,Walt Disney Animation Studios,91.0
The Frighteners,R,Comedy,1996,"July 19, 1996 (United States)",7.1,84000.0,Peter Jackson,Fran Walsh,Michael J. Fox,New Zealand,30000000.0,29359216.0,Universal Pictures,110.0
Star Trek: First Contact,PG-13,Action,1996,"November 22, 1996 (United States)",7.6,120000.0,Jonathan Frakes,Gene Roddenberry,Patrick Stewart,United States,45000000.0,146027888.0,Digital Image Associates,111.0
Swingers,R,Comedy,1996,"April 11, 1997 (Brazil)",7.2,77000.0,Doug Liman,Jon Favreau,Vince Vaughn,United States,200000.0,4555020.0,Doug Liman Productions,96.0
Beautiful Girls,R,Comedy,1996,"February 9, 1996 (United States)",7.1,32000.0,Ted Demme,Scott Rosenberg,Matt Dillon,United States,,10597759.0,Miramax,112.0
Hard Eight,R,Crime,1996,"February 28, 1997 (United States)",7.2,45000.0,Paul Thomas Anderson,Paul Thomas Anderson,Philip Baker Hall,United States,3000000.0,222559.0,Green Parrot,101.0
Hamlet,PG-13,Drama,1996,"December 25, 1996 (United States)",7.7,37000.0,Kenneth Branagh,William Shakespeare,Kenneth Branagh,United Kingdom,18000000.0,4770222.0,Castle Rock Entertainment,242.0
Big Night,R,Drama,1996,"September 20, 1996 (United States)",7.3,18000.0,Campbell Scott,Stanley Tucci,Tony Shalhoub,United States,4100000.0,12008376.0,Rysher Entertainment,109.0
Pusher,Not Rated,Crime,1996,"August 30, 1996 (Denmark)",7.4,37000.0,Nicolas Winding Refn,Jens Dahl,Kim Bodnia,Denmark,,1605.0,Balboa Entertainment,110.0
Waiting for Guffman,R,Comedy,1996,"January 31, 1997 (United States)",7.5,28000.0,Christopher Guest,Christopher Guest,Christopher Guest,United States,4000000.0,2923982.0,Castle Rock Entertainment,84.0
Secrets & Lies,R,Comedy,1996,"February 28, 1997 (United States)",8.0,39000.0,Mike Leigh,Mike Leigh,Timothy Spall,United Kingdom,4500000.0,13417292.0,Channel Four Films,136.0
Breaking the Waves,R,Drama,1996,"November 13, 1996 (United States)",7.8,64000.0,Lars von Trier,Lars von Trier,Emily Watson,Denmark,,3828405.0,ARTE,159.0
Trees Lounge,R,Comedy,1996,"October 11, 1996 (United States)",7.1,14000.0,Steve Buscemi,Steve Buscemi,Steve Buscemi,United States,1300000.0,749741.0,Addis Wechsler Pictures,95.0
The People vs. Larry Flynt,R,Biography,1996,"January 10, 1997 (United States)",7.3,90000.0,Milos Forman,Scott Alexander,Woody Harrelson,United States,36000000.0,20300385.0,Columbia Pictures,130.0
Brassed Off,R,Comedy,1996,"May 23, 1997 (United States)",7.2,19000.0,Mark Herman,Mark Herman,Pete Postlethwaite,United Kingdom,,2576738.0,Channel Four Films,108.0
Shine,PG-13,Biography,1996,"February 14, 1997 (United States)",7.7,52000.0,Scott Hicks,Jan Sardi,Geoffrey Rush,Australia,5500000.0,35999081.0,Australian Film Finance Corporation (AFFC),105.0
Lone Star,R,Drama,1996,"June 21, 1996 (United States)",7.4,28000.0,John Sayles,John Sayles,Chris Cooper,United States,5000000.0,12408986.0,Columbia Pictures,135.0
Michael Collins,R,Biography,1996,"October 25, 1996 (United States)",7.2,30000.0,Neil Jordan,Neil Jordan,Liam Neeson,United Kingdom,25000000.0,11135803.0,Warner Bros.,133.0
Muppet Treasure Island,G,Action,1996,"February 16, 1996 (United States)",7.0,22000.0,Brian Henson,Robert Louis Stevenson,Tim Curry,United States,,34327391.0,Walt Disney Pictures,99.0
Beautiful Thing,R,Comedy,1996,"October 9, 1996 (United States)",7.6,23000.0,Hettie Macdonald,Jonathan Harvey,Glen Berry,United Kingdom,,1548120.0,Channel Four Films,90.0
Irma Vep,Not Rated,Comedy,1996,"April 30, 1997 (United States)",7.1,5900.0,Olivier Assayas,Olivier Assayas,Maggie Cheung,France,,292040.0,Dacia Films,99.0
A Summer's Tale,G,Comedy,1996,"June 20, 2014 (United States)",7.6,7000.0,Éric Rohmer,Éric Rohmer,Melvil Poupaud,France,,198126.0,Canal+,113.0
The Daytrippers,R,Comedy,1996,"March 5, 1997 (United States)",7.0,4900.0,Greg Mottola,Greg Mottola,Hope Davis,Canada,,2099677.0,Alliance Communications Corporation,87.0
Citizen Ruth,R,Comedy,1996,"December 13, 1996 (United States)",7.0,7500.0,Alexander Payne,Alexander Payne,Laura Dern,United States,3000000.0,285112.0,Independent Pictures (II),106.0
The Whole Wide World,PG,Biography,1996,"December 20, 1996 (United States)",7.1,3500.0,Dan Ireland,Novalyne Price Ellis,Vincent D'Onofrio,United States,1300000.0,375757.0,Cineville,111.0
A Family Thing,PG-13,Comedy,1996,"March 29, 1996 (United States)",7.0,3400.0,Richard Pearce,Billy Bob Thornton,Robert Duvall,United States,,10125417.0,United Artists,109.0
Twelfth Night,PG,Comedy,1996,"October 25, 1996 (United States)",7.2,5700.0,Trevor Nunn,William Shakespeare,Helena Bonham Carter,Ireland,5000000.0,588621.0,Renaissance Films,134.0
The Game,R,Drama,1997,"September 12, 1997 (United States)",7.8,361000.0,David Fincher,John Brancato,Michael Douglas,United States,50000000.0,109423648.0,Polygram Filmed Entertainment,129.0
Boogie Nights,R,Drama,1997,"October 31, 1997 (United States)",7.9,246000.0,Paul Thomas Anderson,Paul Thomas Anderson,Mark Wahlberg,United States,15000000.0,43101594.0,New Line Cinema,155.0
Titanic,PG-13,Drama,1997,"December 19, 1997 (United States)",7.8,1100000.0,James Cameron,James Cameron,Leonardo DiCaprio,United States,200000000.0,2201647264.0,Twentieth Century Fox,194.0
The Fifth Element,PG-13,Action,1997,"May 9, 1997 (United States)",7.7,444000.0,Luc Besson,Luc Besson,Bruce Willis,France,93000000.0,263920180.0,Columbia Pictures,126.0
Austin Powers: International Man of Mystery,PG-13,Adventure,1997,"May 2, 1997 (United States)",7.0,227000.0,Jay Roach,Mike Myers,Mike Myers,United States,16500000.0,67683989.0,Capella International,89.0
Good Will Hunting,R,Drama,1997,"January 9, 1998 (United States)",8.3,887000.0,Gus Van Sant,Matt Damon,Robin Williams,United States,10000000.0,225933435.0,Miramax,126.0
Starship Troopers,R,Action,1997,"November 7, 1997 (United States)",7.2,276000.0,Paul Verhoeven,Edward Neumeier,Casper Van Dien,United States,105000000.0,121214377.0,TriStar Pictures,129.0
The Devil's Advocate,R,Drama,1997,"October 17, 1997 (United States)",7.5,342000.0,Taylor Hackford,Andrew Neiderman,Keanu Reeves,Germany,57000000.0,152944660.0,Warner Bros.,144.0
Jackie Brown,R,Crime,1997,"December 25, 1997 (United States)",7.5,325000.0,Quentin Tarantino,Quentin Tarantino,Pam Grier,United States,12000000.0,39673807.0,Miramax,154.0
L.A. Confidential,R,Crime,1997,"September 19, 1997 (United States)",8.2,544000.0,Curtis Hanson,James Ellroy,Kevin Spacey,United States,35000000.0,126216940.0,New Regency Productions,138.0
Life Is Beautiful,PG-13,Comedy,1997,"December 20, 1997 (Italy)",8.6,642000.0,Roberto Benigni,Vincenzo Cerami,Roberto Benigni,Italy,20000000.0,230098753.0,Melampo Cinematografica,116.0
Contact,PG,Drama,1997,"July 11, 1997 (United States)",7.5,260000.0,Robert Zemeckis,James V. Hart,Jodie Foster,United States,90000000.0,171120329.0,Warner Bros.,150.0
Men in Black,PG-13,Action,1997,"July 2, 1997 (United States)",7.3,529000.0,Barry Sonnenfeld,Lowell Cunningham,Tommy Lee Jones,United States,90000000.0,589390539.0,Columbia Pictures,98.0
Hercules,G,Animation,1997,"June 27, 1997 (United States)",7.3,212000.0,Ron Clements,Ron Clements,Tate Donovan,United States,85000000.0,252712101.0,Walt Disney Pictures,93.0
Princess Mononoke,PG-13,Animation,1997,"December 19, 1997 (United States)",8.4,357000.0,Hayao Miyazaki,Hayao Miyazaki,Yôji Matsuda,Japan,,169785704.0,DENTSU Music And Entertainment,134.0
Face/Off,R,Action,1997,"June 27, 1997 (United States)",7.2,357000.0,John Woo,Mike Werb,John Travolta,United States,80000000.0,245676146.0,Permut Presentations,138.0
As Good as It Gets,PG-13,Comedy,1997,"December 25, 1997 (United States)",7.7,282000.0,James L. Brooks,Mark Andrus,Jack Nicholson,United States,50000000.0,314178011.0,TriStar Pictures,139.0
Gattaca,PG-13,Drama,1997,"October 24, 1997 (United States)",7.8,287000.0,Andrew Niccol,Andrew Niccol,Ethan Hawke,United States,36000000.0,12532777.0,Columbia Pictures,106.0
The Rainmaker,PG-13,Crime,1997,"November 21, 1997 (United States)",7.2,68000.0,Francis Ford Coppola,John Grisham,Matt Damon,United States,40000000.0,45916769.0,Constellation Entertainment,135.0
Cube,R,Drama,1997,"July 11, 1998 (Netherlands)",7.2,218000.0,Vincenzo Natali,André Bijelic,Nicole de Boer,Canada,,565727.0,Cube Libre,90.0
Donnie Brasco,R,Biography,1997,"February 28, 1997 (United States)",7.7,287000.0,Mike Newell,Joseph D. Pistone,Al Pacino,United States,35000000.0,124909762.0,Mandalay Entertainment,127.0
Anastasia,G,Animation,1997,"November 21, 1997 (United States)",7.2,115000.0,Don Bluth,Susan Gauthier,Meg Ryan,United States,50000000.0,139804348.0,Twentieth Century Fox,94.0
Perfect Blue,,Animation,1997,"February 28, 1998 (Japan)",8.0,63000.0,Satoshi Kon,Sadayuki Murai,Junko Iwao,Japan,,563130.0,Rex Entertainment,81.0
Lost Highway,R,Mystery,1997,"January 15, 1997 (France)",7.6,134000.0,David Lynch,David Lynch,Bill Pullman,France,15000000.0,3703548.0,CiBy 2000,134.0
The Full Monty,R,Comedy,1997,"September 19, 1997 (United States)",7.2,101000.0,Peter Cattaneo,Simon Beaufoy,Robert Carlyle,United Kingdom,3500000.0,257938649.0,Redwave Films,91.0
Seven Years in Tibet,PG-13,Adventure,1997,"October 10, 1997 (United States)",7.1,134000.0,Jean-Jacques Annaud,Heinrich Harrer,Brad Pitt,United States,70000000.0,131457682.0,Mandalay Entertainment,136.0
Chasing Amy,R,Comedy,1997,"April 18, 1997 (United States)",7.2,134000.0,Kevin Smith,Kevin Smith,Ben Affleck,United States,250000.0,12021272.0,Too Askew Prod. Inc.,113.0
Amistad,R,Biography,1997,"December 25, 1997 (United States)",7.3,73000.0,Steven Spielberg,David Franzoni,Djimon Hounsou,United States,36000000.0,44229441.0,Dreamworks Pictures,155.0
Grosse Pointe Blank,R,Action,1997,"April 11, 1997 (United States)",7.3,90000.0,George Armitage,Tom Jankiewicz,John Cusack,United States,15000000.0,28084357.0,Hollywood Pictures,107.0
Happy Together,,Drama,1997,"May 30, 1997 (Hong Kong)",7.7,25000.0,Kar-Wai Wong,Manuel Puig,Leslie Cheung,Hong Kong,4200000.0,585773.0,Block 2 Pictures,96.0
Open Your Eyes,R,Drama,1997,"December 19, 1997 (Spain)",7.7,65000.0,Alejandro Amenábar,Alejandro Amenábar,Eduardo Noriega,Spain,,377967.0,Canal+ España,119.0
The Ice Storm,R,Drama,1997,"November 26, 1997 (United States)",7.4,54000.0,Ang Lee,Rick Moody,Kevin Kline,United States,18000000.0,8038061.0,Fox Searchlight Pictures,112.0
Soul Food,R,Comedy,1997,"September 26, 1997 (United States)",7.0,7400.0,George Tillman Jr.,George Tillman Jr.,Vanessa Williams,United States,7500000.0,43700855.0,Fox 2000 Pictures,115.0
Children of Heaven,PG,Drama,1997,"January 22, 1999 (United States)",8.3,68000.0,Majid Majidi,Majid Majidi,Mohammad Amir Naji,Iran,180000.0,933933.0,Kanun parvaresh fekri,89.0
Wag the Dog,R,Comedy,1997,"January 9, 1998 (United States)",7.1,80000.0,Barry Levinson,Larry Beinhart,Dustin Hoffman,United States,15000000.0,64256513.0,Baltimore Pictures,97.0
Taste of Cherry,Not Rated,Drama,1997,"November 26, 1997 (France)",7.8,26000.0,Abbas Kiarostami,Abbas Kiarostami,Homayoun Ershadi,Iran,,10923.0,Abbas Kiarostami Productions,95.0
The Boxer,R,Drama,1997,"January 9, 1998 (United States)",7.0,20000.0,Jim Sheridan,Jim Sheridan,Daniel Day-Lewis,United States,,16534578.0,Universal Pictures,113.0
The Sweet Hereafter,R,Drama,1997,"November 21, 1997 (United States)",7.5,33000.0,Atom Egoyan,Russell Banks,Ian Holm,Canada,,3263585.0,Alliance Communications Corporation,112.0
Eve's Bayou,R,Drama,1997,"November 7, 1997 (United States)",7.3,9100.0,Kasi Lemmons,Kasi Lemmons,Samuel L. Jackson,United States,6000000.0,14842388.0,Trimark Pictures,109.0
Kundun,PG-13,Biography,1997,"January 16, 1998 (United States)",7.0,27000.0,Martin Scorsese,Melissa Mathison,Tenzin Thuthob Tsarong,United States,28000000.0,5684789.0,De Fina-Cappa,134.0
Cure,Not Rated,Crime,1997,"July 8, 2001 (United States)",7.4,12000.0,Kiyoshi Kurosawa,Kiyoshi Kurosawa,Masato Hagiwara,Japan,,,Daiei Studios,111.0
Live Flesh,R,Drama,1997,"January 16, 1998 (United States)",7.4,29000.0,Pedro Almodóvar,Pedro Almodóvar,Liberto Rabal,Spain,,1785901.0,El Deseo,103.0
The Castle,R,Comedy,1997,"May 7, 1999 (United States)",7.7,15000.0,Rob Sitch,Santo Cilauro,Michael Caton,Australia,,877862.0,Working Dog,85.0
Rosewood,R,Action,1997,"February 21, 1997 (United States)",7.2,7700.0,John Singleton,Gregory Poirier,Jon Voight,United States,25000000.0,13130349.0,Warner Bros.,140.0
Affliction,R,Drama,1997,"February 19, 1999 (United States)",7.0,16000.0,Paul Schrader,Russell Banks,Nick Nolte,United States,6000000.0,6330054.0,JVC Entertainment Networks,114.0
Love Jones,R,Drama,1997,"March 14, 1997 (United States)",7.4,4300.0,Theodore Witcher,Theodore Witcher,Larenz Tate,United States,10000000.0,12782749.0,Addis Wechsler Pictures,104.0
Bent,NC-17,Drama,1997,"November 26, 1997 (United States)",7.2,7900.0,Sean Mathias,Martin Sherman,Lothaire Bluteau,United Kingdom,,496059.0,Channel Four Films,105.0
Mrs. Brown,PG,Biography,1997,"October 3, 1997 (United States)",7.2,14000.0,John Madden,Jeremy Brock,Judi Dench,United Kingdom,,9229808.0,BBC Scotland,101.0
Deconstructing Harry,R,Comedy,1997,"January 2, 1998 (United States)",7.4,43000.0,Woody Allen,Woody Allen,Woody Allen,United States,20000000.0,10686841.0,Sweetland Films,96.0
Fireworks,,Crime,1997,"March 20, 1998 (United States)",7.8,29000.0,Takeshi Kitano,Takeshi Kitano,Takeshi Kitano,Japan,,500000.0,Bandai Visual Company,103.0
Insomnia,Not Rated,Crime,1997,"May 29, 1998 (United States)",7.3,14000.0,Erik Skjoldbjærg,Nikolaj Frobenius,Stellan Skarsgård,Norway,,227569.0,Norsk Film,96.0
The Spanish Prisoner,PG,Drama,1997,"May 15, 1998 (United States)",7.2,22000.0,David Mamet,David Mamet,Steve Martin,United States,10000000.0,9593903.0,Jasmine Productions Inc.,110.0
The Wings of the Dove,R,Drama,1997,"March 13, 1998 (United States)",7.1,11000.0,Iain Softley,Henry James,Helena Bonham Carter,United States,,13692848.0,Miramax,102.0
The Apostle,PG-13,Drama,1997,"February 20, 1998 (United States)",7.2,14000.0,Robert Duvall,Robert Duvall,Robert Duvall,United States,5000000.0,19868354.0,Butcher's Run Films,134.0
Ulee's Gold,R,Drama,1997,"July 18, 1997 (United States)",7.0,6800.0,Victor Nunez,Victor Nunez,Peter Fonda,United States,2700000.0,9161691.0,Clinica Estetico,113.0
Lawn Dogs,R,Drama,1997,"May 15, 1998 (United States)",7.5,7700.0,John Duigan,Naomi Wallace,Sam Rockwell,United Kingdom,8000000.0,106404.0,The Rank Organisation,101.0
Knockin' on Heaven's Door,Not Rated,Action,1997,"February 20, 1997 (Germany)",7.9,28000.0,Thomas Jahn,Thomas Jahn,Til Schweiger,Germany,,5710.0,Buena Vista International Film Production (Germany),87.0
Firelight,R,Drama,1997,"September 4, 1998 (United States)",7.2,4200.0,William Nicholson,William Nicholson,Sophie Marceau,United Kingdom,,785482.0,Carnival Film & Television,103.0
In the Company of Men,R,Comedy,1997,"August 1, 1997 (United States)",7.2,13000.0,Neil LaBute,Neil LaBute,Aaron Eckhart,Canada,25000.0,2804473.0,Alliance Atlantis Communications,97.0
The Big Lebowski,R,Comedy,1998,"March 6, 1998 (United States)",8.1,754000.0,Joel Coen,Ethan Coen,Jeff Bridges,United States,15000000.0,46748721.0,Polygram Filmed Entertainment,117.0
Saving Private Ryan,R,Drama,1998,"July 24, 1998 (United States)",8.6,1300000.0,Steven Spielberg,Robert Rodat,Tom Hanks,United States,70000000.0,482349603.0,Dreamworks Pictures,169.0
American History X,R,Drama,1998,"November 20, 1998 (United States)",8.5,1100000.0,Tony Kaye,David McKenna,Edward Norton,United States,20000000.0,23875127.0,New Line Cinema,119.0
"Lock, Stock and Two Smoking Barrels",R,Action,1998,"August 28, 1998 (United Kingdom)",8.2,547000.0,Guy Ritchie,Guy Ritchie,Jason Flemyng,United Kingdom,,3753929.0,Summit Entertainment,107.0
The Truman Show,PG,Comedy,1998,"June 5, 1998 (United States)",8.1,972000.0,Peter Weir,Andrew Niccol,Jim Carrey,United States,60000000.0,264118201.0,Paramount Pictures,103.0
Rounders,R,Crime,1998,"September 11, 1998 (United States)",7.3,144000.0,John Dahl,David Levien,Matt Damon,United States,12000000.0,22912409.0,Miramax,121.0
Blade,R,Action,1998,"August 21, 1998 (United States)",7.1,252000.0,Stephen Norrington,David S. Goyer,Wesley Snipes,United States,45000000.0,131183530.0,Amen Ra Films,120.0
Meet Joe Black,PG-13,Drama,1998,"November 13, 1998 (United States)",7.2,223000.0,Martin Brest,Ron Osborn,Brad Pitt,United States,90000000.0,142940100.0,Universal Pictures,178.0
Rush Hour,PG-13,Action,1998,"September 18, 1998 (United States)",7.0,247000.0,Brett Ratner,Ross LaManna,Jackie Chan,United States,33000000.0,244721064.0,New Line Cinema,98.0
Fear and Loathing in Las Vegas,R,Adventure,1998,"May 22, 1998 (United States)",7.6,266000.0,Terry Gilliam,Hunter S. Thompson,Johnny Depp,United States,18500000.0,10680275.0,Fear and Loathing LLC,118.0
There's Something About Mary,R,Comedy,1998,"July 15, 1998 (United States)",7.1,297000.0,Bobby Farrelly,Ed Decter,Cameron Diaz,United States,23000000.0,369884651.0,Twentieth Century Fox,119.0
A Bug's Life,G,Animation,1998,"November 25, 1998 (United States)",7.2,273000.0,John Lasseter,John Lasseter,Kevin Spacey,United States,120000000.0,363258859.0,Pixar Animation Studios,95.0
Out of Sight,R,Comedy,1998,"June 26, 1998 (United States)",7.0,88000.0,Steven Soderbergh,Elmore Leonard,George Clooney,United States,48000000.0,77745966.0,Universal Pictures,123.0
Mulan,G,Animation,1998,"June 19, 1998 (United States)",7.6,265000.0,Tony Bancroft,Robert D. San Souci,Ming-Na Wen,United States,90000000.0,304320254.0,Walt Disney Animation Studios,88.0
The Thin Red Line,R,Drama,1998,"January 15, 1999 (United States)",7.6,177000.0,Terrence Malick,James Jones,Jim Caviezel,United States,52000000.0,98126565.0,Fox 2000 Pictures,170.0
Pleasantville,PG-13,Comedy,1998,"October 23, 1998 (United States)",7.5,123000.0,Gary Ross,Gary Ross,Tobey Maguire,United States,60000000.0,49805462.0,New Line Cinema,124.0
What Dreams May Come,PG-13,Drama,1998,"October 2, 1998 (United States)",7.0,104000.0,Vincent Ward,Richard Matheson,Robin Williams,United States,85000000.0,55382927.0,Polygram Filmed Entertainment,113.0
Rushmore,R,Comedy,1998,"February 19, 1999 (United States)",7.7,174000.0,Wes Anderson,Wes Anderson,Jason Schwartzman,United States,9000000.0,17196103.0,American Empirical Pictures,93.0
Dark City,R,Fantasy,1998,"February 27, 1998 (United States)",7.6,191000.0,Alex Proyas,Alex Proyas,Rufus Sewell,Australia,27000000.0,27200316.0,Mystery Clock Cinema,100.0
Ever After: A Cinderella Story,PG-13,Comedy,1998,"July 31, 1998 (United States)",7.0,71000.0,Andy Tennant,Susannah Grant,Drew Barrymore,United States,26000000.0,98005666.0,Twentieth Century Fox,121.0
Shakespeare in Love,R,Comedy,1998,"January 8, 1999 (United States)",7.1,217000.0,John Madden,Marc Norman,Gwyneth Paltrow,United States,25000000.0,289317794.0,Universal Pictures,123.0
The Prince of Egypt,PG,Animation,1998,"December 18, 1998 (United States)",7.1,122000.0,Brenda Chapman,Philip LaZebnik,Val Kilmer,United States,70000000.0,218613188.0,DreamWorks Animation,99.0
Enemy of the State,R,Action,1998,"November 20, 1998 (United States)",7.3,232000.0,Tony Scott,David Marconi,Will Smith,United States,90000000.0,250849789.0,Touchstone Pictures,132.0
The Celebration,R,Drama,1998,"June 19, 1998 (Denmark)",8.1,81000.0,Thomas Vinterberg,Thomas Vinterberg,Ulrich Thomsen,Denmark,1300000.0,1657778.0,Nimbus Film Productions,105.0
Fallen,R,Action,1998,"January 16, 1998 (United States)",7.0,78000.0,Gregory Hoblit,Nicholas Kazan,Denzel Washington,United States,,25232289.0,Turner Pictures (I),124.0
Ronin,R,Action,1998,"September 25, 1998 (United States)",7.3,176000.0,John Frankenheimer,J.D. Zeik,Robert De Niro,United Kingdom,55000000.0,41616262.0,FGM Entertainment,122.0
Pi,R,Drama,1998,"July 10, 1998 (United States)",7.4,173000.0,Darren Aronofsky,Darren Aronofsky,Sean Gullette,United States,60000.0,3221152.0,Harvest Filmworks,84.0
Happiness,Unrated,Comedy,1998,"October 16, 1998 (United States)",7.7,67000.0,Todd Solondz,Todd Solondz,Jane Adams,United States,2200000.0,2982011.0,Good Machine,134.0
Elizabeth,R,Biography,1998,"February 19, 1999 (United States)",7.4,95000.0,Shekhar Kapur,Michael Hirst,Cate Blanchett,United Kingdom,30000000.0,82150642.0,PolyGram Filmed Entertainment,124.0
The Negotiator,R,Action,1998,"July 29, 1998 (United States)",7.3,134000.0,F. Gary Gray,James DeMonaco,Samuel L. Jackson,Germany,50000000.0,44547681.0,New Regency Productions,140.0
Buffalo '66,R,Comedy,1998,"June 26, 1998 (United States)",7.5,49000.0,Vincent Gallo,Vincent Gallo,Vincent Gallo,United States,1500000.0,2375097.0,Cinépix Film Properties (CFP),110.0
Run Lola Run,R,Crime,1998,"June 18, 1999 (United States)",7.7,191000.0,Tom Tykwer,Tom Tykwer,Franka Potente,Germany,,7267585.0,X-Filme Creative Pool,80.0
A Simple Plan,R,Crime,1998,"January 22, 1999 (United States)",7.5,66000.0,Sam Raimi,Scott B. Smith,Bill Paxton,United Kingdom,30000000.0,16316273.0,British Broadcasting Corporation (BBC),121.0
Velvet Goldmine,R,Drama,1998,"October 23, 1998 (United Kingdom)",7.0,34000.0,Todd Haynes,James Lyons,Ewan McGregor,United Kingdom,,1053788.0,Channel Four Films,118.0
Following,R,Crime,1998,"November 5, 1999 (United Kingdom)",7.5,89000.0,Christopher Nolan,Christopher Nolan,Jeremy Theobald,United Kingdom,6000.0,48482.0,Next Wave Films,69.0
I Stand Alone,Not Rated,Crime,1998,"February 17, 1999 (France)",7.4,22000.0,Gaspar Noé,Gaspar Noé,Philippe Nahon,France,,6955.0,Canal+,93.0
The Legend of 1900,R,Drama,1998,"October 28, 1998 (Italy)",8.1,60000.0,Giuseppe Tornatore,Alessandro Baricco,Tim Roth,Italy,9000000.0,21057208.0,Sciarlò,169.0
Kuch Kuch Hota Hai,Not Rated,Comedy,1998,"October 16, 1998 (India)",7.6,50000.0,Karan Johar,Karan Johar,Shah Rukh Khan,India,,,Dharma Productions,177.0
The X Files,PG-13,Drama,1998,"June 19, 1998 (United States)",7.0,103000.0,Rob Bowman,Chris Carter,David Duchovny,United States,66000000.0,189176423.0,Twentieth Century Fox,121.0
SLC Punk!,R,Comedy,1998,"April 16, 1999 (United States)",7.4,26000.0,James Merendino,James Merendino,Matthew Lillard,United States,,299569.0,Beyond Films,97.0
Taxi,Not Rated,Action,1998,"November 20, 1998 (United States)",7.0,78000.0,Gérard Pirès,Luc Besson,Samy Naceri,France,,,ARP Sélection,86.0
Croupier,Not Rated,Crime,1998,"July 28, 2000 (United States)",7.1,20000.0,Mike Hodges,Paul Mayersberg,Clive Owen,Ireland,,7120568.0,ARTE,94.0
Gods and Monsters,R,Biography,1998,"November 4, 1998 (United States)",7.4,30000.0,Bill Condon,Christopher Bram,Ian McKellen,United States,10000000.0,6451628.0,Lions Gate Films,105.0
The Red Violin,R,Drama,1998,"June 11, 1999 (United States)",7.6,32000.0,François Girard,Don McKellar,Carlo Cecchi,Canada,18000000.0,10019109.0,Rhombus Media,130.0
Les Misérables,PG-13,Crime,1998,"May 1, 1998 (United States)",7.4,39000.0,Bille August,Victor Hugo,Liam Neeson,United Kingdom,,14096321.0,Mandalay Entertainment,134.0
Waking Ned Devine,PG,Comedy,1998,"January 8, 1999 (United States)",7.4,26000.0,Kirk Jones,Kirk Jones,Ian Bannen,United Kingdom,3000000.0,55257450.0,Tomboy Films,91.0
Eternity and a Day,Unrated,Drama,1998,"May 28, 1999 (United States)",7.9,11000.0,Theodoros Angelopoulos,Theodoros Angelopoulos,Bruno Ganz,France,,107178.0,Paradis Films,137.0
